date,min_temp,max_temp,climate,climate_desc,windspeed,humidity
2023-10-24 20:30:00,27.79000000000002,27.960000000000036,Clear,clear sky,1.22,30
2023-10-24 23:30:00,26.350000000000023,26.920000000000016,Clear,clear sky,0.58,28
2023-10-25 02:30:00,25.210000000000036,25.210000000000036,Clear,clear sky,0.36,27
2023-10-25 05:30:00,24.460000000000036,24.460000000000036,Clear,clear sky,0.83,30
2023-10-25 08:30:00,26.110000000000014,26.110000000000014,Clear,clear sky,1.45,29
2023-10-25 11:30:00,30.600000000000023,30.600000000000023,Clear,clear sky,2.21,23
2023-10-25 14:30:00,32.55000000000001,32.55000000000001,Clear,clear sky,2.78,16
2023-10-25 17:30:00,31.05000000000001,31.05000000000001,Clear,clear sky,2.76,17
2023-10-25 20:30:00,29.03000000000003,29.03000000000003,Clear,clear sky,1.17,19
2023-10-25 23:30:00,27.090000000000032,27.090000000000032,Clear,clear sky,2.36,22
2023-10-26 02:30:00,25.350000000000023,25.350000000000023,Clear,clear sky,2.09,23
2023-10-26 05:30:00,23.82000000000005,23.82000000000005,Clear,clear sky,1.79,25
2023-10-26 08:30:00,25.910000000000025,25.910000000000025,Clear,clear sky,1.7,24
2023-10-26 11:30:00,30.980000000000018,30.980000000000018,Clear,clear sky,2.5,18
2023-10-26 14:30:00,32.910000000000025,32.910000000000025,Clear,clear sky,3.32,14
2023-10-26 17:30:00,31.33000000000004,31.33000000000004,Clear,clear sky,2.37,15
2023-10-26 20:30:00,28.460000000000036,28.460000000000036,Clear,clear sky,0.95,18
2023-10-26 23:30:00,26.99000000000001,26.99000000000001,Clear,clear sky,0.84,18
2023-10-27 02:30:00,25.310000000000002,25.310000000000002,Clear,clear sky,1.73,19
2023-10-27 05:30:00,24.220000000000027,24.220000000000027,Clear,clear sky,1.18,20
2023-10-27 08:30:00,26.230000000000018,26.230000000000018,Clear,clear sky,0.84,19
2023-10-27 11:30:00,31.400000000000034,31.400000000000034,Clouds,scattered clouds,0.78,14
2023-10-27 14:30:00,33.18000000000001,33.18000000000001,Clouds,scattered clouds,1.87,13
2023-10-27 17:30:00,31.670000000000016,31.670000000000016,Clouds,scattered clouds,1.63,16
2023-10-27 20:30:00,28.920000000000016,28.920000000000016,Clear,clear sky,1.8,20
2023-10-27 23:30:00,27.090000000000032,27.090000000000032,Clouds,few clouds,1.19,21
2023-10-28 02:30:00,26.129999999999995,26.129999999999995,Clouds,broken clouds,0.76,22
2023-10-28 05:30:00,25.470000000000027,25.470000000000027,Clouds,broken clouds,0.79,23
2023-10-28 08:30:00,27.04000000000002,27.04000000000002,Clouds,scattered clouds,0.6,22
2023-10-28 11:30:00,30.49000000000001,30.49000000000001,Clouds,broken clouds,0.75,18
2023-10-28 14:30:00,32.24000000000001,32.24000000000001,Clouds,overcast clouds,1.23,16
2023-10-28 17:30:00,30.99000000000001,30.99000000000001,Clouds,overcast clouds,0.62,18
2023-10-28 20:30:00,28.930000000000007,28.930000000000007,Clouds,overcast clouds,1.95,22
2023-10-28 23:30:00,27.170000000000016,27.170000000000016,Clouds,overcast clouds,2.29,26
2023-10-29 02:30:00,26.310000000000002,26.310000000000002,Clouds,overcast clouds,1.8,30
2023-10-29 05:30:00,25.33000000000004,25.33000000000004,Clouds,overcast clouds,1.51,32
2023-10-29 08:30:00,27.04000000000002,27.04000000000002,Clouds,few clouds,0.99,29
2023-10-29 11:30:00,30.650000000000034,30.650000000000034,Clouds,broken clouds,1.45,23
2023-10-29 14:30:00,32.26000000000005,32.26000000000005,Clouds,overcast clouds,0.37,20
2023-10-29 17:30:00,30.680000000000007,30.680000000000007,Clouds,overcast clouds,1.77,23
